ID,Mode,Auditory,Gender,Age_1,competence,intelligence,thoughtful,composite_intellect,humanness,novel,unique,composite_novelty,Stimulus,RecommendationFollowed
58,Auditory-Computer,1,2,59,5,7,5,5.666666667,2,2,2,2,CreditCard,0
59,Auditory-Human,1,2,18,2,4,4,3.333333333,4,4,2,3,CreditCard,0
60,Auditory-Computer,1,2,24,4,5,2,3.666666667,5,6,6,6,CreditCard,0
61,Auditory-Human,1,1,23,4,4,4,4,9,4,3,3.5,CreditCard,0
62,Auditory-Human,1,1,41,8,9,8,8.333333333,8,9,8,8.5,CreditCard,1
63,Auditory-Human,1,2,19,6,6,6,6,5,8,8,8,CreditCard,1
64,Auditory-Computer,1,2,21,6,6,6,6,4,6,6,6,CreditCard,1
65,Auditory-Computer,1,1,29,6,6,5,5.666666667,1,7,5,6,CreditCard,0
66,Visual-Handwritten,0,1,19,4,3,3,3.333333333,4,6,5,5.5,CreditCard,0
67,Auditory-Computer,1,2,20,6,5,6,5.666666667,6,5,4,4.5,CreditCard,1
68,Visual-Handwritten,0,1,76,7,7,5,6.333333333,6,7,6,6.5,CreditCard,1
69,Visual-Handwritten,0,2,31,4,5,5,4.666666667,1,1,1,1,CreditCard,0
70,Visual-Handwritten,0,2,33,4,5,6,5,7,6,5,5.5,CreditCard,0
71,Auditory-Computer,1,1,19,5,5,7,5.666666667,2,3,2,2.5,CreditCard,1
72,Auditory-Computer,1,1,47,8,9,9,8.666666667,9,8,9,8.5,CreditCard,1
73,Auditory-Human,1,3,28,6,6,5,5.666666667,7,6,6,6,CreditCard,1
74,Auditory-Human,1,1,56,3,5,4,4,5,1,1,1,CreditCard,0
75,Auditory-Human,1,2,38,5,5,5,5,2,1,1,1,CreditCard,1
76,Auditory-Human,1,1,18,3,3,3,3,9,1,1,1,CreditCard,0
77,Visual-Handwritten,0,2,19,6,6,6,6,4,4,4,4,CreditCard,0
78,Visual-Handwritten,0,1,39,1,3,4,2.666666667,4,6,6,6,CreditCard,0
79,Auditory-Human,1,1,33,7,6,7,6.666666667,5,6,7,6.5,CreditCard,0
80,Auditory-Human,1,2,22,8,8,8,8,6,5,2,3.5,CreditCard,1
81,Auditory-Computer,1,1,27,5,5,5,5,1,6,6,6,CreditCard,0
82,Auditory-Computer,1,2,19,4,6,7,5.666666667,9,6,3,4.5,CreditCard,1
83,Visual-Handwritten,0,1,22,3,4,4,3.666666667,5,8,8,8,CreditCard,0
84,Auditory-Human,1,1,42,9,9,9,9,9,9,8,8.5,CreditCard,1
85,Visual-Handwritten,0,2,41,6,7,7,6.666666667,6,6,7,6.5,CreditCard,1
86,Auditory-Computer,1,1,19,5,5,3,4.333333333,2,4,4,4,CreditCard,0
87,Auditory-Human,1,3,27,7,7,7,7,6,7,5,6,CreditCard,1
88,Auditory-Computer,1,2,22,5,5,4,4.666666667,3,7,3,5,CreditCard,0
89,Visual-Handwritten,0,1,20,4,4,5,4.333333333,6,3,5,4,CreditCard,1
90,Visual-Handwritten,0,1,44,8,8,9,8.333333333,1,9,8,8.5,CreditCard,1
91,Auditory-Human,1,2,20,7,7,6,6.666666667,6,7,6,6.5,CreditCard,0
92,Auditory-Computer,1,1,18,7,6,5,6,2,1,1,1,CreditCard,1
93,Auditory-Human,1,1,27,1,1,1,1,5,7,9,8,CreditCard,0
94,Visual-Handwritten,0,2,20,4,5,6,5,5,7,4,5.5,CreditCard,0
95,Auditory-Computer,1,1,18,2,2,9,4.333333333,2,5,6,5.5,CreditCard,1
96,Auditory-Computer,1,1,22,3,4,3,3.333333333,3,3,5,4,CreditCard,0
97,Visual-Handwritten,0,2,73,5,5,1,3.666666667,1,6,6,6,CreditCard,0
98,Auditory-Computer,1,2,22,3,3,2,2.666666667,5,3,2,2.5,CreditCard,1
99,Auditory-Human,1,1,45,9,9,9,9,9,9,9,9,CreditCard,1
100,Auditory-Human,1,2,43,5,5,5,5,9,1,1,1,CreditCard,0
101,Auditory-Computer,1,1,18,7,5,7,6.333333333,5,3,1,2,CreditCard,0
102,Auditory-Human,1,1,37,6,7,7,6.666666667,5,7,5,6,CreditCard,0
103,Auditory-Human,1,2,29,5,5,5,5,9,2,2,2,CreditCard,0
104,Visual-Handwritten,0,1,29,9,9,9,9,5,9,9,9,CreditCard,1
105,Auditory-Computer,1,1,27,3,2,2,2.333333333,1,2,2,2,CreditCard,0
106,Visual-Handwritten,0,1,19,3,5,4,4,5,3,3,3,CreditCard,0
107,Auditory-Computer,1,1,22,4,5,5,4.666666667,1,2,2,2,CreditCard,0
108,Auditory-Human,1,1,18,7,6,7,6.666666667,8,7,7,7,CreditCard,1
109,Visual-Handwritten,0,2,30,7,6,7,6.666666667,6,5,6,5.5,CreditCard,0
110,Visual-Handwritten,0,2,21,5,5,6,5.333333333,5,5,6,5.5,CreditCard,0
111,Auditory-Computer,1,1,42,9,8,8,8.333333333,9,8,9,8.5,CreditCard,1
112,Auditory-Human,1,1,28,9,9,9,9,9,9,9,9,CreditCard,1
113,Visual-Handwritten,0,2,20,7,6,7,6.666666667,8,8,7,7.5,CreditCard,0
114,Auditory-Human,1,2,37,6,7,5,6,5,3,1,2,CreditCard,0
115,Visual-Handwritten,0,2,21,6,7,4,5.666666667,7,9,9,9,CreditCard,0
116,Visual-Handwritten,0,2,51,9,9,9,9,9,9,9,9,CreditCard,0
117,Auditory-Computer,1,1,23,7,5,6,6,1,3,3,3,CreditCard,0
118,Auditory-Human,1,2,21,5,7,1,4.333333333,1,7,8,7.5,CreditCard,0
119,Auditory-Computer,1,2,29,6,6,6,6,6,6,7,6.5,CreditCard,1
120,Visual-Handwritten,0,1,22,8,8,8,8,5,6,5,5.5,CreditCard,1
121,Auditory-Computer,1,1,25,8,6,4,6,1,3,1,2,CreditCard,1
122,Auditory-Computer,1,1,27,3,3,9,5,1,5,2,3.5,CreditCard,0
123,Auditory-Computer,1,1,21,5,5,5,5,1,3,2,2.5,CreditCard,0
124,Auditory-Human,1,2,21,7,7,7,7,5,6,6,6,CreditCard,1
125,Visual-Handwritten,0,1,18,5,5,7,5.666666667,8,5,3,4,CreditCard,1
126,Auditory-Computer,1,2,21,4,3,4,3.666666667,4,3,3,3,CreditCard,1
127,Visual-Handwritten,0,2,25,4,6,5,5,2,9,9,9,CreditCard,0
128,Auditory-Computer,1,2,18,7,7,6,6.666666667,4,1,2,1.5,CreditCard,1
129,Visual-Handwritten,0,1,33,5,5,5,5,5,6,4,5,CreditCard,1
130,Auditory-Computer,1,1,19,7,4,2,4.333333333,4,1,1,1,CreditCard,0
131,Visual-Handwritten,0,1,42,9,9,9,9,9,9,9,9,CreditCard,1
132,Auditory-Human,1,2,21,3,3,3,3,8,5,5,5,CreditCard,0
133,Auditory-Human,1,2,18,7,6,7,6.666666667,7,7,4,5.5,CreditCard,1
134,Auditory-Human,1,1,19,3,5,3,3.666666667,7,4,2,3,CreditCard,0
135,Visual-Handwritten,0,1,20,7,7,6,6.666666667,4,5,5,5,CreditCard,0
136,Auditory-Human,1,1,46,8,9,8,8.333333333,9,8,9,8.5,CreditCard,1
137,Auditory-Computer,1,1,27,5,5,5,5,2,7,7,7,CreditCard,0
138,Visual-Handwritten,0,2,27,5,5,5,5,9,5,5,5,CreditCard,0
139,Visual-Handwritten,0,1,22,8,5,7,6.666666667,3,5,6,5.5,CreditCard,1
140,Auditory-Human,1,2,58,7,7,5,6.333333333,9,4,4,4,CreditCard,1
141,Visual-Handwritten,0,2,28,7,6,7,6.666666667,9,7,7,7,CreditCard,1
142,Auditory-Human,1,2,30,5,7,6,6,8,3,3,3,CreditCard,0
143,Auditory-Computer,1,1,23,3,4,4,3.666666667,7,8,7,7.5,CreditCard,0
144,Auditory-Computer,1,1,25,7,2,1,3.333333333,1,2,1,1.5,CreditCard,0
145,Auditory-Human,1,2,29,6,6,5,5.666666667,9,6,7,6.5,CreditCard,0
146,Auditory-Computer,1,1,35,4,5,4,4.333333333,1,1,1,1,CreditCard,0
147,Auditory-Computer,1,2,30,2,2,2,2,2,3,1,2,CreditCard,0
148,Visual-Handwritten,0,2,22,3,6,9,6,9,9,9,9,CreditCard,0
149,Visual-Handwritten,0,2,66,6,7,7,6.666666667,3,5,5,5,CreditCard,0
150,Auditory-Computer,1,1,18,5,3,3,3.666666667,6,4,5,4.5,CreditCard,1
151,Auditory-Human,1,1,19,4,3,4,3.666666667,3,1,1,1,CreditCard,0
152,Visual-Handwritten,0,1,21,8,7,8,7.666666667,5,7,7,7,CreditCard,0
153,Auditory-Human,1,1,22,5,5,5,5,7,5,5,5,CreditCard,0
154,Auditory-Computer,1,1,42,8,7,7,7.333333333,7,7,6,6.5,CreditCard,1
155,Visual-Handwritten,0,2,47,6,7,5,6,4,3,3,3,CreditCard,0
156,Auditory-Human,1,1,35,7,8,7,7.333333333,6,8,7,7.5,CreditCard,1
157,Visual-Handwritten,0,1,31,7,5,5,5.666666667,5,5,5,5,CreditCard,0
158,Auditory-Human,1,1,20,7,6,4,5.666666667,8,9,9,9,CreditCard,1
159,Auditory-Human,1,2,25,7,7,7,7,8,7,7,7,CreditCard,1
160,Auditory-Computer,1,2,21,6,6,5,5.666666667,6,5,5,5,CreditCard,1
161,Visual-Handwritten,0,1,23,2,2,1,1.666666667,3,1,1,1,CreditCard,0
162,Auditory-Human,1,1,18,8,7,6,7,4,5,3,4,CreditCard,1
163,Auditory-Computer,1,2,28,1,1,1,1,2,1,1,1,CreditCard,0
164,Auditory-Human,1,2,23,5,6,5,5.333333333,4,6,5,5.5,CreditCard,0
165,Auditory-Computer,1,1,22,6,5,4,5,7,6,6,6,CreditCard,1
166,Auditory-Computer,1,2,19,1,1,3,1.666666667,1,2,3,2.5,CreditCard,0
167,Auditory-Computer,1,1,21,7,6,6,6.333333333,6,6,6,6,CreditCard,1
168,Visual-Handwritten,0,2,21,5,5,5,5,3,2,2,2,CreditCard,0
169,Auditory-Human,1,2,34,8,8,8,8,9,1,1,1,CreditCard,0
170,Auditory-Human,1,2,23,6,5,5,5.333333333,6,6,5,5.5,CreditCard,1
171,Visual-Handwritten,0,2,18,5,5,5,5,5,2,2,2,CreditCard,0
172,Auditory-Computer,1,2,28,6,5,4,5,9,5,7,6,CreditCard,1
173,Auditory-Computer,1,2,23,1,1,1,1,6,4,6,5,CreditCard,0
174,Visual-Handwritten,0,2,41,6,5,5,5.333333333,5,6,6,6,CreditCard,1
175,Auditory-Human,1,2,24,5,5,5,5,7,7,5,6,CreditCard,1
176,Visual-Handwritten,0,2,32,6,7,6,6.333333333,4,5,5,5,CreditCard,0
177,Visual-Handwritten,0,2,22,4,3,2,3,6,3,3,3,CreditCard,0
178,Auditory-Human,1,2,25,2,5,2,3,5,3,2,2.5,CreditCard,0
179,Auditory-Computer,1,2,63,7,5,6,6,6,5,3,4,CreditCard,1
180,Auditory-Computer,1,1,23,4,7,7,6,8,9,5,7,CreditCard,0
181,Visual-Handwritten,0,1,22,5,5,3,4.333333333,6,2,2,2,CreditCard,1
182,Auditory-Human,1,1,18,6,5,5,5.333333333,3,9,1,5,CreditCard,0
183,Visual-Handwritten,0,1,20,6,7,7,6.666666667,4,4,6,5,CreditCard,1
184,Visual-Handwritten,0,2,32,5,5,5,5,5,2,2,2,CreditCard,0
185,Auditory-Human,1,3,21,5,3,3,3.666666667,9,7,6,6.5,CreditCard,0
186,Visual-Handwritten,0,3,25,9,7,9,8.333333333,5,7,9,8,CreditCard,0
187,Auditory-Computer,1,1,50,5,1,5,3.666666667,7,5,2,3.5,CreditCard,0
188,Visual-Handwritten,0,1,41,7,8,8,7.666666667,8,7,8,7.5,CreditCard,1
189,Auditory-Computer,1,1,26,7,7,6,6.666666667,1,4,5,4.5,CreditCard,1
190,Auditory-Human,1,2,23,9,5,5,6.333333333,9,4,4,4,CreditCard,1
191,Visual-Handwritten,0,2,37,8,8,8,8,4,7,6,6.5,CreditCard,0
192,Visual-Handwritten,0,2,32,6,6,6,6,5,5,5,5,CreditCard,0
193,Auditory-Human,1,2,59,1,1,1,1,5,2,2,2,CreditCard,0
194,Auditory-Computer,1,1,65,8,8,7,7.666666667,5,6,4,5,CreditCard,0
195,Auditory-Human,1,2,37,7,7,7,7,8,3,3,3,CreditCard,0
196,Visual-Handwritten,0,1,42,7,7,7,7,6,6,6,6,CreditCard,1
197,Auditory-Computer,1,1,20,6,5,7,6,4,6,6,6,CreditCard,0
198,Auditory-Human,1,1,19,5,5,4,4.666666667,9,2,2,2,CreditCard,0
199,Visual-Handwritten,0,2,58,6,5,7,6,4,5,4,4.5,CreditCard,0
200,Visual-Handwritten,0,2,42,5,5,5,5,6,5,7,6,CreditCard,0
201,Auditory-Human,1,1,39,6,5,6,5.666666667,7,4,5,4.5,CreditCard,1
202,Auditory-Computer,1,1,23,3,5,6,4.666666667,4,2,3,2.5,CreditCard,0
203,Auditory-Human,1,2,30,5,5,5,5,6,5,5,5,CreditCard,1
204,Visual-Handwritten,0,2,34,7,7,8,7.333333333,7,4,4,4,CreditCard,0
205,Auditory-Human,1,1,37,7,7,7,7,6,6,5,5.5,CreditCard,0
206,Auditory-Computer,1,2,20,6,6,5,5.666666667,7,5,6,5.5,CreditCard,1
207,Auditory-Computer,1,2,21,5,5,1,3.666666667,2,1,1,1,CreditCard,0
208,Auditory-Computer,1,1,22,5,5,2,4,5,4,4,4,CreditCard,1
209,Auditory-Computer,1,2,19,4,3,2,3,2,2,2,2,CreditCard,0
210,Auditory-Computer,1,2,32,5,5,5,5,3,4,4,4,CreditCard,0
211,Auditory-Human,1,1,44,8,8,7,7.666666667,9,8,8,8,CreditCard,1
212,Auditory-Human,1,1,46,3,5,7,5,5,7,5,6,CreditCard,1
213,Auditory-Human,1,2,33,9,9,9,9,9,2,3,2.5,CreditCard,1
214,Auditory-Human,1,2,18,4,6,2,4,4,3,4,3.5,CreditCard,0
215,Visual-Handwritten,0,1,36,5,5,7,5.666666667,5,9,7,8,CreditCard,0
216,Auditory-Human,1,1,23,5,5,6,5.333333333,7,6,6,6,CreditCard,0
217,Auditory-Computer,1,2,54,5,7,1,4.333333333,1,4,4,4,CreditCard,0
218,Auditory-Human,1,2,32,7,7,7,7,7,7,7,7,CreditCard,1
219,Visual-Handwritten,0,1,63,7,7,5,6.333333333,6,7,6,6.5,CreditCard,0
220,Visual-Handwritten,0,1,28,3,4,3,3.333333333,5,6,7,6.5,CreditCard,0
221,Auditory-Human,1,2,30,9,9,9,9,1,5,5,5,CreditCard,0
222,Auditory-Computer,1,2,22,3,3,3,3,2,6,7,6.5,CreditCard,0
223,Auditory-Human,1,1,23,9,9,9,9,1,8,9,8.5,CreditCard,1
224,Auditory-Computer,1,1,26,7,6,7,6.666666667,7,7,8,7.5,CreditCard,0
225,Visual-Handwritten,0,1,25,5,5,3,4.333333333,2,1,2,1.5,CreditCard,0
226,Auditory-Computer,1,2,31,2,3,1,2,4,4,4,4,CreditCard,0
227,Visual-Handwritten,0,2,58,6,3,8,5.666666667,3,5,5,5,CreditCard,0
228,Visual-Handwritten,0,1,28,3,4,4,3.666666667,5,3,5,4,CreditCard,0
229,Auditory-Human,1,2,47,9,9,9,9,5,3,3,3,CreditCard,1
230,Auditory-Human,1,1,33,6,5,5,5.333333333,6,1,2,1.5,CreditCard,0
231,Visual-Handwritten,0,2,18,6,7,7,6.666666667,6,4,6,5,CreditCard,0
232,Auditory-Human,1,1,44,8,7,7,7.333333333,7,7,6,6.5,CreditCard,1
233,Visual-Handwritten,0,2,42,9,6,1,5.333333333,7,8,8,8,CreditCard,1
234,Auditory-Computer,1,1,37,6,6,7,6.333333333,4,6,5,5.5,CreditCard,0
235,Auditory-Computer,1,2,29,6,7,6,6.333333333,5,7,7,7,CreditCard,1
236,Visual-Handwritten,0,2,30,6,6,6,6,5,3,3,3,CreditCard,0
237,Visual-Handwritten,0,1,30,4,5,6,5,3,6,3,4.5,CreditCard,1
238,Visual-Handwritten,0,1,33,3,4,4,3.666666667,7,1,1,1,CreditCard,0
239,Auditory-Computer,1,2,44,8,8,8,8,5,7,8,7.5,CreditCard,1
240,Auditory-Computer,1,1,18,7,7,6,6.666666667,3,6,6,6,CreditCard,1
241,Auditory-Computer,1,1,21,6,6,5,5.666666667,3,4,5,4.5,CreditCard,0
242,Auditory-Human,1,1,48,7,7,6,6.666666667,7,6,7,6.5,CreditCard,1
243,Auditory-Computer,1,1,43,4,1,1,2,5,4,4,4,CreditCard,0
244,Visual-Handwritten,0,1,21,5,6,3,4.666666667,8,4,6,5,CreditCard,0
245,Auditory-Computer,1,2,22,8,8,6,7.333333333,7,6,7,6.5,CreditCard,1
246,Auditory-Human,1,2,27,9,9,9,9,1,9,9,9,CreditCard,1
247,Auditory-Human,1,2,21,6,5,5,5.333333333,6,5,3,4,CreditCard,0
248,Auditory-Computer,1,1,25,5,1,1,2.333333333,9,1,1,1,CreditCard,1
249,Auditory-Human,1,1,23,1,2,2,1.666666667,5,8,9,8.5,CreditCard,0
250,Visual-Handwritten,0,2,27,7,7,7,7,5,5,5,5,CreditCard,1
251,Auditory-Human,1,1,22,4,6,5,5,7,4,6,5,CreditCard,0
252,Visual-Handwritten,0,1,18,6,5,5,5.333333333,4,5,4,4.5,CreditCard,0
253,Visual-Handwritten,0,1,23,6,6,6,6,9,6,6,6,CreditCard,1
254,Visual-Handwritten,0,2,45,5,7,6,6,7,1,1,1,CreditCard,0
255,Auditory-Computer,1,1,28,6,5,6,5.666666667,5,6,6,6,CreditCard,1
256,Visual-Handwritten,0,2,25,8,7,7,7.333333333,7,7,7,7,CreditCard,0
257,Auditory-Computer,1,2,22,1,2,1,1.333333333,2,1,5,3,CreditCard,0
258,Auditory-Human,1,2,19,6,5,6,5.666666667,9,5,4,4.5,CreditCard,0
259,Auditory-Computer,1,2,56,9,9,9,9,7,4,1,2.5,CreditCard,1
260,Auditory-Human,1,2,46,5,5,5,5,7,4,3,3.5,CreditCard,0
261,Auditory-Computer,1,2,31,6,6,6,6,1,3,3,3,CreditCard,0
262,Auditory-Computer,1,2,18,3,4,5,4,8,6,5,5.5,CreditCard,1
263,Visual-Handwritten,0,1,27,5,6,5,5.333333333,3,6,6,6,CreditCard,0
264,Auditory-Human,1,2,47,6,6,6,6,6,6,6,6,CreditCard,1
265,Auditory-Computer,1,2,56,5,5,5,5,5,3,3,3,CreditCard,0
266,Auditory-Computer,1,1,26,6,5,5,5.333333333,1,1,1,1,CreditCard,0
267,Auditory-Human,1,1,33,8,7,6,7,9,7,6,6.5,CreditCard,0
268,Auditory-Human,1,1,28,8,6,5,6.333333333,5,7,6,6.5,CreditCard,0
269,Visual-Handwritten,0,1,36,6,6,7,6.333333333,4,4,3,3.5,CreditCard,0
270,Auditory-Human,1,1,30,6,6,5,5.666666667,9,9,9,9,CreditCard,0
271,Visual-Handwritten,0,1,35,7,6,7,6.666666667,7,6,6,6,CreditCard,1
272,Auditory-Human,1,1,18,6,7,2,5,3,6,2,4,CreditCard,0
273,Visual-Handwritten,0,2,19,8,8,6,7.333333333,8,8,7,7.5,CreditCard,0
274,Auditory-Human,1,1,36,6,6,5,5.666666667,6,7,6,6.5,CreditCard,1
275,Visual-Handwritten,0,2,45,3,3,3,3,2,3,2,2.5,CreditCard,0
276,Auditory-Computer,1,2,32,3,5,4,4,6,4,5,4.5,CreditCard,0
277,Auditory-Human,1,1,25,5,5,5,5,9,6,1,3.5,CreditCard,1
278,Auditory-Human,1,2,30,9,8,9,8.666666667,9,9,9,9,CreditCard,1
279,Visual-Handwritten,0,1,35,7,7,8,7.333333333,9,7,8,7.5,CreditCard,0
280,Visual-Handwritten,0,1,33,4,4,5,4.333333333,3,6,7,6.5,CreditCard,0
281,Visual-Handwritten,0,2,27,5,5,5,5,4,5,4,4.5,CreditCard,0
282,Auditory-Computer,1,1,21,5,6,4,5,5,4,1,2.5,CreditCard,0
283,Auditory-Computer,1,2,35,8,8,7,7.666666667,1,3,3,3,CreditCard,1
284,Auditory-Computer,1,2,24,2,3,4,3,3,5,5,5,CreditCard,0
285,Auditory-Human,1,1,18,4,2,4,3.333333333,7,7,2,4.5,CreditCard,0
286,Auditory-Human,1,2,33,3,5,2,3.333333333,5,7,7,7,CreditCard,0
287,Auditory-Human,1,1,20,7,7,7,7,8,6,3,4.5,CreditCard,0
288,Auditory-Computer,1,2,30,8,9,8,8.333333333,7,7,8,7.5,CreditCard,1
289,Visual-Handwritten,0,1,31,5,5,5,5,9,9,9,9,CreditCard,0
290,Auditory-Computer,1,1,20,7,6,8,7,3,4,3,3.5,CreditCard,1
291,Visual-Handwritten,0,1,35,8,9,8,8.333333333,9,8,8,8,CreditCard,1
292,Auditory-Computer,1,1,37,1,1,1,1,1,1,1,1,CreditCard,0
293,Visual-Handwritten,0,1,25,9,9,9,9,9,1,1,1,CreditCard,1
294,Visual-Handwritten,0,1,20,1,3,4,2.666666667,9,2,1,1.5,CreditCard,0
295,Auditory-Computer,1,2,28,7,7,4,6,1,1,1,1,CreditCard,0
296,Auditory-Human,1,2,27,3,2,3,2.666666667,2,3,3,3,CreditCard,0
297,Visual-Handwritten,0,2,22,7,6,2,5,8,7,2,4.5,CreditCard,0
298,Auditory-Human,1,1,33,2,2,1,1.666666667,2,1,1,1,CreditCard,0
299,Auditory-Computer,1,2,32,3,3,1,2.333333333,1,2,3,2.5,CreditCard,0
300,Auditory-Human,1,2,19,1,1,1,1,9,3,3,3,CreditCard,0
301,Auditory-Human,1,1,20,7,7,6,6.666666667,6,7,7,7,CreditCard,1
302,Auditory-Human,1,1,26,5,6,5,5.333333333,1,5,4,4.5,CreditCard,1
303,Auditory-Computer,1,2,18,7,7,6,6.666666667,5,3,3,3,CreditCard,1
304,Auditory-Computer,1,2,22,4,5,5,4.666666667,2,4,4,4,CreditCard,0
305,Visual-Handwritten,0,2,22,6,5,6,5.666666667,7,4,5,4.5,CreditCard,1
306,Auditory-Computer,1,1,48,5,6,4,5,6,5,5,5,CreditCard,1
307,Auditory-Computer,1,2,19,6,6,6,6,1,5,5,5,CreditCard,0
308,Visual-Handwritten,0,2,31,4,5,2,3.666666667,6,1,1,1,CreditCard,0
309,Auditory-Human,1,2,27,6,6,6,6,6,3,3,3,CreditCard,0
310,Auditory-Computer,1,2,30,6,5,1,4,1,1,1,1,CreditCard,0
311,Auditory-Human,1,1,24,3,7,4,4.666666667,9,1,1,1,CreditCard,0
312,Auditory-Human,1,2,31,8,8,8,8,5,7,6,6.5,CreditCard,0
313,Auditory-Computer,1,2,21,3,4,4,3.666666667,5,3,3,3,CreditCard,0
314,Auditory-Computer,1,1,32,5,8,7,6.666666667,5,5,4,4.5,CreditCard,1
315,Visual-Handwritten,0,1,26,7,7,7,7,9,7,7,7,CreditCard,1
