"","ResponseID","Mode","Auditory","Gender","Age_1","competence","intelligence","thoughtful","composite_intellect","humanness","novel","unique","composite_novelty","Stimulus","RecommendationFollowed"
"27","R_1duGLDJsm62B4mY","Auditory-Computer",1,2,23,5,5,5,5,1,8,8,8,"CreditCard",1
"28","R_2U5et1ffTKqjie3","Auditory-Human",1,2,46,5,6,7,6,6,5,6,5.5,"CreditCard",1
"29","R_3ikgANVCyiT6rM6","Visual-Handwritten",0,1,22,7,7,8,7.33333333333333,9,6,6,6,"CreditCard",0
"30","R_2YsrSqYF0wsqQHh","Auditory-Computer",1,1,32,2,5,2,3,1,1,1,1,"CreditCard",0
"31","R_2U9jkMRyFZnf2fu","Auditory-Computer",1,2,54,5,6,5,5.33333333333333,2,5,5,5,"CreditCard",1
"32","R_3oGzFqWlRoGcUdF","Auditory-Human",1,2,68,7,5,5,5.66666666666667,8,1,1,1,"CreditCard",1
"33","R_r8d0gxCW8I8ETZf","Auditory-Computer",1,2,22,5,4,4,4.33333333333333,3,1,2,1.5,"CreditCard",0
"34","R_1rDhfcSyicFwAHF","Auditory-Human",1,2,25,5,5,5,5,9,6,4,5,"CreditCard",1
"35","R_YVtpHyWuX3N8kZH","Auditory-Computer",1,2,22,3,2,2,2.33333333333333,4,3,2,2.5,"CreditCard",0
"36","R_2RakTG89MYn1qOp","Auditory-Computer",1,2,49,7,7,6,6.66666666666667,7,7,5,6,"CreditCard",0
"37","R_bmf5MoiH0NNyQhz","Auditory-Human",1,2,29,9,9,8,8.66666666666667,8,6,7,6.5,"CreditCard",0
"38","R_2sdUvso2d1SNLNx","Visual-Handwritten",0,2,21,5,5,5,5,5,6,6,6,"CreditCard",1
"39","R_22mibdBmTkHc10v","Auditory-Computer",1,2,21,6,5,4,5,3,5,4,4.5,"CreditCard",0
"40","R_2VsXcKBGYrISMDQ","Visual-Handwritten",0,1,19,3,3,7,4.33333333333333,6,7,7,7,"CreditCard",0
"41","R_O7tvgFNscEydXUZ","Auditory-Human",1,1,21,9,9,9,9,7,9,9,9,"CreditCard",1
"42","R_xGHpssQmQYB8UFj","Auditory-Human",1,2,23,8,7,7,7.33333333333333,7,7,2,4.5,"CreditCard",1
"43","R_uxoQt2aCovxBNrr","Visual-Handwritten",0,2,21,3,5,3,3.66666666666667,5,3,3,3,"CreditCard",0
"44","R_2ebfZZ8RYNSg8Zp","Visual-Handwritten",0,1,37,6,6,5,5.66666666666667,5,5,4,4.5,"CreditCard",0
"45","R_AhNMQdxqpsBRBeh","Visual-Handwritten",0,2,19,4,5,4,4.33333333333333,1,5,3,4,"CreditCard",0
"46","R_12KCTeEvad84VOZ","Auditory-Human",1,2,19,7,7,7,7,6,5,5,5,"CreditCard",1
"47","R_1DYZ8Kz5T7IaYRS","Auditory-Computer",1,2,33,4,5,3,4,1,6,5,5.5,"CreditCard",0
"48","R_yxvGiJ4SDoLEMdr","Visual-Handwritten",0,2,28,6,5,4,5,1,7,7,7,"CreditCard",0
"49","R_2X0a6aJqpqAuQU3","Visual-Handwritten",0,2,24,7,6,6,6.33333333333333,5,6,7,6.5,"CreditCard",0
"50","R_3L0jv4dkEnjtses","Auditory-Human",1,2,18,6,6,6,6,5,6,7,6.5,"CreditCard",0
"51","R_rdvCbJGMxlQLejT","Visual-Handwritten",0,1,18,5,5,6,5.33333333333333,6,3,2,2.5,"CreditCard",0
"52","R_25vfrPFCIiNkrj1","Auditory-Computer",1,1,24,5,5,4,4.66666666666667,3,3,3,3,"CreditCard",1
"53","R_UAydgFeO9zCtzzj","Auditory-Computer",1,1,30,5,6,6,5.66666666666667,1,5,7,6,"CreditCard",0
"54","R_3I3OklphDjYGxtY","Visual-Handwritten",0,2,22,7,5,7,6.33333333333333,5,1,1,1,"CreditCard",0
"55","R_3dX0dG0xO5Oz7lW","Auditory-Human",1,2,44,7,7,7,7,5,5,7,6,"CreditCard",1
"56","R_3kpvLdSbLVEBL4j","Visual-Handwritten",0,1,31,5,5,5,5,5,7,7,7,"CreditCard",0
"57","R_3j9El8O3wrC3Ygw","Auditory-Computer",1,1,29,7,7,7,7,9,5,5,5,"CreditCard",1
"58","R_3HFz1LjD8LS7WcQ","Auditory-Computer",1,2,59,5,7,5,5.66666666666667,2,2,2,2,"CreditCard",0
"59","R_3ekvtyZaalDVyNM","Auditory-Human",1,2,18,2,4,4,3.33333333333333,4,4,2,3,"CreditCard",0
"60","R_2AG7pB5wXOpjCNw","Auditory-Computer",1,2,24,4,5,2,3.66666666666667,5,6,6,6,"CreditCard",0
"61","R_XA60brweUrLLX5T","Auditory-Human",1,1,23,4,4,4,4,9,4,3,3.5,"CreditCard",0
"62","R_31H4jrifXIPveeL","Auditory-Human",1,1,41,8,9,8,8.33333333333333,8,9,8,8.5,"CreditCard",1
"63","R_2fizWgL9zIhEIOB","Auditory-Human",1,2,19,6,6,6,6,5,8,8,8,"CreditCard",1
"64","R_1kSaVGojNvVW7eE","Auditory-Computer",1,2,21,6,6,6,6,4,6,6,6,"CreditCard",1
"65","R_2E11A28JGNWwSrY","Auditory-Computer",1,1,29,6,6,5,5.66666666666667,1,7,5,6,"CreditCard",0
"66","R_24cI89DxEjsUhLu","Visual-Handwritten",0,1,19,4,3,3,3.33333333333333,4,6,5,5.5,"CreditCard",0
"67","R_1o7w1IsKrdvgO5t","Auditory-Computer",1,2,20,6,5,6,5.66666666666667,6,5,4,4.5,"CreditCard",1
"68","R_SGGcefW84c8DdPr","Visual-Handwritten",0,1,76,7,7,5,6.33333333333333,6,7,6,6.5,"CreditCard",1
"69","R_3dEVRYcjGs5uYmQ","Visual-Handwritten",0,2,31,4,5,5,4.66666666666667,1,1,1,1,"CreditCard",0
"70","R_2wFarj8ysctAg5K","Visual-Handwritten",0,2,33,4,5,6,5,7,6,5,5.5,"CreditCard",0
"71","R_1oIsF9019Bk82Fp","Auditory-Computer",1,1,19,5,5,7,5.66666666666667,2,3,2,2.5,"CreditCard",1
"72","R_1DRThEfa8lHwAgH","Auditory-Computer",1,1,47,8,9,9,8.66666666666667,9,8,9,8.5,"CreditCard",1
"73","R_2dSxnwm0C2WVmHr","Auditory-Human",1,3,28,6,6,5,5.66666666666667,7,6,6,6,"CreditCard",1
"74","R_2Ec7D14IatriuBb","Auditory-Human",1,1,56,3,5,4,4,5,1,1,1,"CreditCard",0
"75","R_3J2vyRdNz9vn52C","Auditory-Human",1,2,38,5,5,5,5,2,1,1,1,"CreditCard",1
"76","R_ufQo3eLprzp8GHL","Auditory-Human",1,1,18,3,3,3,3,9,1,1,1,"CreditCard",0
"77","R_oXFjjlYXkRnbYDn","Visual-Handwritten",0,2,19,6,6,6,6,4,4,4,4,"CreditCard",0
"78","R_3lsJjFz5kPxXSkT","Visual-Handwritten",0,1,39,1,3,4,2.66666666666667,4,6,6,6,"CreditCard",0
"79","R_5bTh3YMVFQwV9V7","Auditory-Human",1,1,33,7,6,7,6.66666666666667,5,6,7,6.5,"CreditCard",0
"80","R_1f0YMA2huTB1eOw","Auditory-Human",1,2,22,8,8,8,8,6,5,2,3.5,"CreditCard",1
"81","R_2CTd7nxcgYWEGCg","Auditory-Computer",1,1,27,5,5,5,5,1,6,6,6,"CreditCard",0
"82","R_3emGQom2Pc2It7G","Auditory-Computer",1,2,19,4,6,7,5.66666666666667,9,6,3,4.5,"CreditCard",1
"83","R_vrABk2DWTJSumat","Visual-Handwritten",0,1,22,3,4,4,3.66666666666667,5,8,8,8,"CreditCard",0
"84","R_2tcbnVhsCjHAlSD","Auditory-Human",1,1,42,9,9,9,9,9,9,8,8.5,"CreditCard",1
"85","R_ROVizEuaQKJJUop","Visual-Handwritten",0,2,41,6,7,7,6.66666666666667,6,6,7,6.5,"CreditCard",1
"86","R_3QJkpz35OD3V3IJ","Auditory-Computer",1,1,19,5,5,3,4.33333333333333,2,4,4,4,"CreditCard",0
"87","R_1Id5RyHM0nhcEex","Auditory-Human",1,3,27,7,7,7,7,6,7,5,6,"CreditCard",1
"88","R_2arXuWrYUwHzWOU","Auditory-Computer",1,2,22,5,5,4,4.66666666666667,3,7,3,5,"CreditCard",0
"89","R_31TspTuCxjVqfpY","Visual-Handwritten",0,1,20,4,4,5,4.33333333333333,6,3,5,4,"CreditCard",1
"90","R_2atMKNB50DGSgOp","Visual-Handwritten",0,1,44,8,8,9,8.33333333333333,1,9,8,8.5,"CreditCard",1
"91","R_3sh9z7IZLUbfaXQ","Auditory-Human",1,2,20,7,7,6,6.66666666666667,6,7,6,6.5,"CreditCard",0
"92","R_11ZK1B2MZEVG0Bk","Auditory-Computer",1,1,18,7,6,5,6,2,1,1,1,"CreditCard",1
"93","R_3D2tbD7DGDOMyse","Auditory-Human",1,1,27,1,1,1,1,5,7,9,8,"CreditCard",0
"94","R_1DuIUItclOg2JKB","Visual-Handwritten",0,2,20,4,5,6,5,5,7,4,5.5,"CreditCard",0
"95","R_D05hsRtHT8cyEbT","Auditory-Computer",1,1,18,2,2,9,4.33333333333333,2,5,6,5.5,"CreditCard",1
"96","R_1pG2ETYMGiiN2QP","Auditory-Computer",1,1,22,3,4,3,3.33333333333333,3,3,5,4,"CreditCard",0
"97","R_2hhcICBA9AzA729","Visual-Handwritten",0,2,73,5,5,1,3.66666666666667,1,6,6,6,"CreditCard",0
"98","R_1jVpleZflptqdn3","Auditory-Computer",1,2,22,3,3,2,2.66666666666667,5,3,2,2.5,"CreditCard",1
"99","R_27P8W1YQyr4bM0s","Auditory-Human",1,1,45,9,9,9,9,9,9,9,9,"CreditCard",1
"100","R_1gebbxeIEDhMSzZ","Auditory-Human",1,2,43,5,5,5,5,9,1,1,1,"CreditCard",0
"101","R_8qzWreyxHMvlZ3X","Auditory-Computer",1,1,18,7,5,7,6.33333333333333,5,3,1,2,"CreditCard",0
"102","R_1LbNvbyK3fxHYs8","Auditory-Human",1,1,37,6,7,7,6.66666666666667,5,7,5,6,"CreditCard",0
"103","R_d6wiFNEaeW9Ynpn","Auditory-Human",1,2,29,5,5,5,5,9,2,2,2,"CreditCard",0
"104","R_3067K2H00HaeXHG","Visual-Handwritten",0,1,29,9,9,9,9,5,9,9,9,"CreditCard",1
"105","R_3gTQMlVncHO0XEO","Auditory-Computer",1,1,27,3,2,2,2.33333333333333,1,2,2,2,"CreditCard",0
"106","R_3HOCapxSVFyA2ha","Visual-Handwritten",0,1,19,3,5,4,4,5,3,3,3,"CreditCard",0
"107","R_DwKwkEphCRIO0k9","Auditory-Computer",1,1,22,4,5,5,4.66666666666667,1,2,2,2,"CreditCard",0
"108","R_vv7dpS4vlftOzfz","Auditory-Human",1,1,18,7,6,7,6.66666666666667,8,7,7,7,"CreditCard",1
"109","R_2aOCU0UvdfgPlsK","Visual-Handwritten",0,2,30,7,6,7,6.66666666666667,6,5,6,5.5,"CreditCard",0
"110","R_3gO7UOApmn3sFV2","Visual-Handwritten",0,2,21,5,5,6,5.33333333333333,5,5,6,5.5,"CreditCard",0
"111","R_yR5ViwKZVvVOj17","Auditory-Computer",1,1,42,9,8,8,8.33333333333333,9,8,9,8.5,"CreditCard",1
"112","R_2zcoBLQH43YSGJ5","Auditory-Human",1,1,28,9,9,9,9,9,9,9,9,"CreditCard",1
"113","R_3dYcYj8InGBFxuW","Visual-Handwritten",0,2,20,7,6,7,6.66666666666667,8,8,7,7.5,"CreditCard",0
"114","R_DNWusT1FvliHhMB","Auditory-Human",1,2,37,6,7,5,6,5,3,1,2,"CreditCard",0
"115","R_25uoJjW0ybg85La","Visual-Handwritten",0,2,21,6,7,4,5.66666666666667,7,9,9,9,"CreditCard",0
"116","R_yDCQxDfblgO3Lc5","Visual-Handwritten",0,2,51,9,9,9,9,9,9,9,9,"CreditCard",0
"117","R_1KwP6tbR2D23WT7","Auditory-Computer",1,1,23,7,5,6,6,1,3,3,3,"CreditCard",0
"118","R_3E51AiVudcQfxi9","Auditory-Human",1,2,21,5,7,1,4.33333333333333,1,7,8,7.5,"CreditCard",0
"119","R_2P1cJlLcQQCcH0b","Auditory-Computer",1,2,29,6,6,6,6,6,6,7,6.5,"CreditCard",1
"120","R_2pPniArZRvyGXV7","Visual-Handwritten",0,1,22,8,8,8,8,5,6,5,5.5,"CreditCard",1
"121","R_27wAo5Py8C536dT","Auditory-Computer",1,1,25,8,6,4,6,1,3,1,2,"CreditCard",1
"122","R_3iWDOid0txxV3fp","Auditory-Computer",1,1,27,3,3,9,5,1,5,2,3.5,"CreditCard",0
"123","R_3kd3GVY0qxTCKfI","Auditory-Computer",1,1,21,5,5,5,5,1,3,2,2.5,"CreditCard",0
"124","R_22tpFq1UlcDq5mc","Auditory-Human",1,2,21,7,7,7,7,5,6,6,6,"CreditCard",1
"125","R_3IQoMP5aEE844r3","Visual-Handwritten",0,1,18,5,5,7,5.66666666666667,8,5,3,4,"CreditCard",1
"126","R_2bW9Wt5muIExRoQ","Auditory-Computer",1,2,21,4,3,4,3.66666666666667,4,3,3,3,"CreditCard",1
"127","R_2BalUyoS7wCmSdA","Visual-Handwritten",0,2,25,4,6,5,5,2,9,9,9,"CreditCard",0
"128","R_1odnFeJa10zRsav","Auditory-Computer",1,2,18,7,7,6,6.66666666666667,4,1,2,1.5,"CreditCard",1
"129","R_2fJouq1hxQ0MHsA","Visual-Handwritten",0,1,33,5,5,5,5,5,6,4,5,"CreditCard",1
"130","R_3RjYikx7uMQMfYe","Auditory-Computer",1,1,19,7,4,2,4.33333333333333,4,1,1,1,"CreditCard",0
"131","R_NXv7N2Z2Errp83f","Visual-Handwritten",0,1,42,9,9,9,9,9,9,9,9,"CreditCard",1
"132","R_2sRy6YQMzVXxKJf","Auditory-Human",1,2,21,3,3,3,3,8,5,5,5,"CreditCard",0
"133","R_3EIOpQfGk421kDn","Auditory-Human",1,2,18,7,6,7,6.66666666666667,7,7,4,5.5,"CreditCard",1
"134","R_1k2i4UUQjVZyyLm","Auditory-Human",1,1,19,3,5,3,3.66666666666667,7,4,2,3,"CreditCard",0
"135","R_3Eo5kiWGlq1PMzX","Visual-Handwritten",0,1,20,7,7,6,6.66666666666667,4,5,5,5,"CreditCard",0
"136","R_1Nhb9be5rgj3fv0","Auditory-Human",1,1,46,8,9,8,8.33333333333333,9,8,9,8.5,"CreditCard",1
"137","R_zcbja7ZLUwUw11L","Auditory-Computer",1,1,27,5,5,5,5,2,7,7,7,"CreditCard",0
"138","R_10OtTGbsge64Suv","Visual-Handwritten",0,2,27,5,5,5,5,9,5,5,5,"CreditCard",0
"139","R_2TRXTqirNy1lyiN","Visual-Handwritten",0,1,22,8,5,7,6.66666666666667,3,5,6,5.5,"CreditCard",1
"140","R_2EfRJOTYg0t4663","Auditory-Human",1,2,58,7,7,5,6.33333333333333,9,4,4,4,"CreditCard",1
"141","R_5vQVdXiI0OQrZyp","Visual-Handwritten",0,2,28,7,6,7,6.66666666666667,9,7,7,7,"CreditCard",1
"142","R_W0Agc9RWW64oKTD","Auditory-Human",1,2,30,5,7,6,6,8,3,3,3,"CreditCard",0
"143","R_wRAnWt7mNAxnWil","Auditory-Computer",1,1,23,3,4,4,3.66666666666667,7,8,7,7.5,"CreditCard",0
"144","R_1hQ1mRC9qjMKiF3","Auditory-Computer",1,1,25,7,2,1,3.33333333333333,1,2,1,1.5,"CreditCard",0
"145","R_12tJ0uBsChQcK9W","Auditory-Human",1,2,29,6,6,5,5.66666666666667,9,6,7,6.5,"CreditCard",0
"146","R_3CZ9IvD8fxFkF1f","Auditory-Computer",1,1,35,4,5,4,4.33333333333333,1,1,1,1,"CreditCard",0
"147","R_3GrCWtemjCNXoZ2","Auditory-Computer",1,2,30,2,2,2,2,2,3,1,2,"CreditCard",0
"148","R_095DarJKXQsFpyp","Visual-Handwritten",0,2,22,3,6,9,6,9,9,9,9,"CreditCard",0
"149","R_tPAJRWzK01EeAc9","Visual-Handwritten",0,2,66,6,7,7,6.66666666666667,3,5,5,5,"CreditCard",0
"150","R_AEDbqleVV314YBX","Auditory-Computer",1,1,18,5,3,3,3.66666666666667,6,4,5,4.5,"CreditCard",1
"151","R_27jLhTbqHTap9Ha","Auditory-Human",1,1,19,4,3,4,3.66666666666667,3,1,1,1,"CreditCard",0
"152","R_1ISeY1MOPHbRSue","Visual-Handwritten",0,1,21,8,7,8,7.66666666666667,5,7,7,7,"CreditCard",0
"153","R_z8XiSOeHu3rq2Zz","Auditory-Human",1,1,22,5,5,5,5,7,5,5,5,"CreditCard",0
"154","R_3PWX5ATl0uoBb8R","Auditory-Computer",1,1,42,8,7,7,7.33333333333333,7,7,6,6.5,"CreditCard",1
"155","R_27efXxJA6ODRxuR","Visual-Handwritten",0,2,47,6,7,5,6,4,3,3,3,"CreditCard",0
"156","R_2s5wHg0ZaaOUlR6","Auditory-Human",1,1,35,7,8,7,7.33333333333333,6,8,7,7.5,"CreditCard",1
"157","R_1re3HVNzOYl8LpM","Visual-Handwritten",0,1,31,7,5,5,5.66666666666667,5,5,5,5,"CreditCard",0
"158","R_pB3qYpAHnVZFO01","Auditory-Human",1,1,20,7,6,4,5.66666666666667,8,9,9,9,"CreditCard",1
"159","R_3HhsCEoF2vWJf1P","Auditory-Human",1,2,25,7,7,7,7,8,7,7,7,"CreditCard",1
"160","R_8ihNf5YuCifWV0J","Auditory-Computer",1,2,21,6,6,5,5.66666666666667,6,5,5,5,"CreditCard",1
"161","R_3FVsJIbzptaqrqj","Visual-Handwritten",0,1,23,2,2,1,1.66666666666667,3,1,1,1,"CreditCard",0
"162","R_3oG8MdhKt63kaES","Auditory-Human",1,1,18,8,7,6,7,4,5,3,4,"CreditCard",1
"163","R_1MJS8uKtlfi7eOI","Auditory-Computer",1,2,28,1,1,1,1,2,1,1,1,"CreditCard",0
"164","R_uaBmrDcRbmG3XHj","Auditory-Human",1,2,23,5,6,5,5.33333333333333,4,6,5,5.5,"CreditCard",0
"165","R_YaZBqmZIhZxMGzv","Auditory-Computer",1,1,22,6,5,4,5,7,6,6,6,"CreditCard",1
"166","R_1mw197f1RZKwefz","Auditory-Computer",1,2,19,1,1,3,1.66666666666667,1,2,3,2.5,"CreditCard",0
"167","R_2hpR0HHwGLzFGKt","Auditory-Computer",1,1,21,7,6,6,6.33333333333333,6,6,6,6,"CreditCard",1
"168","R_2CVuYwOd4bILDIM","Visual-Handwritten",0,2,21,5,5,5,5,3,2,2,2,"CreditCard",0
"169","R_2RUrxk2DcxqfXiJ","Auditory-Human",1,2,34,8,8,8,8,9,1,1,1,"CreditCard",0
"170","R_2AGTTgLWi2pMKiS","Auditory-Human",1,2,23,6,5,5,5.33333333333333,6,6,5,5.5,"CreditCard",1
"171","R_9MHypQu9YTAXkNX","Visual-Handwritten",0,2,18,5,5,5,5,5,2,2,2,"CreditCard",0
"172","R_3n789RfqIoGrtW8","Auditory-Computer",1,2,28,6,5,4,5,9,5,7,6,"CreditCard",1
"173","R_1IhCAsQQBRWt398","Auditory-Computer",1,2,23,1,1,1,1,6,4,6,5,"CreditCard",0
"174","R_OKaA8pBvtr8ABBD","Visual-Handwritten",0,2,41,6,5,5,5.33333333333333,5,6,6,6,"CreditCard",1
"175","R_uvSqHCwKEB2VLoJ","Auditory-Human",1,2,24,5,5,5,5,7,7,5,6,"CreditCard",1
"176","R_2ZVapYE79TwwX5c","Visual-Handwritten",0,2,32,6,7,6,6.33333333333333,4,5,5,5,"CreditCard",0
"177","R_1Cj60oTMKKpd1IL","Visual-Handwritten",0,2,22,4,3,2,3,6,3,3,3,"CreditCard",0
"178","R_2qCKOqgSOfYXY9S","Auditory-Human",1,2,25,2,5,2,3,5,3,2,2.5,"CreditCard",0
"179","R_Aup3SnxJovAFMNX","Auditory-Computer",1,2,63,7,5,6,6,6,5,3,4,"CreditCard",1
"180","R_29gq7VQ5kcChNNg","Auditory-Computer",1,1,23,4,7,7,6,8,9,5,7,"CreditCard",0
"181","R_2BlH2YOtK8eN9wc","Visual-Handwritten",0,1,22,5,5,3,4.33333333333333,6,2,2,2,"CreditCard",1
"182","R_2t9yWiOkl9Ltlb0","Auditory-Human",1,1,18,6,5,5,5.33333333333333,3,9,1,5,"CreditCard",0
"183","R_8qNdUnP2u3DG0St","Visual-Handwritten",0,1,20,6,7,7,6.66666666666667,4,4,6,5,"CreditCard",1
"184","R_2c1nqpbgcE7GSaS","Visual-Handwritten",0,2,32,5,5,5,5,5,2,2,2,"CreditCard",0
"185","R_1E6wg9LGgf5rCU3","Auditory-Human",1,3,21,5,3,3,3.66666666666667,9,7,6,6.5,"CreditCard",0
"186","R_OiJJQWxg8CYe8Mx","Visual-Handwritten",0,3,25,9,7,9,8.33333333333333,5,7,9,8,"CreditCard",0
"187","R_8Cj9ED4hPeuMLAt","Auditory-Computer",1,1,50,5,1,5,3.66666666666667,7,5,2,3.5,"CreditCard",0
"188","R_3gMYWQZhZwcQvfg","Visual-Handwritten",0,1,41,7,8,8,7.66666666666667,8,7,8,7.5,"CreditCard",1
"189","R_2dXwhpqgoEjChFu","Auditory-Computer",1,1,26,7,7,6,6.66666666666667,1,4,5,4.5,"CreditCard",1
"190","R_1dh8zv4mGpaatpK","Auditory-Human",1,2,23,9,5,5,6.33333333333333,9,4,4,4,"CreditCard",1
"191","R_2dncBrfR9Uxf5jF","Visual-Handwritten",0,2,37,8,8,8,8,4,7,6,6.5,"CreditCard",0
"192","R_2ctuN0YNIBdLuuq","Visual-Handwritten",0,2,32,6,6,6,6,5,5,5,5,"CreditCard",0
"193","R_2aUNxSAAsOrrpeG","Auditory-Human",1,2,59,1,1,1,1,5,2,2,2,"CreditCard",0
"194","R_3nMCxBMDfiz4L00","Auditory-Computer",1,1,65,8,8,7,7.66666666666667,5,6,4,5,"CreditCard",0
"195","R_2PaLONblfNFTaXU","Auditory-Human",1,2,37,7,7,7,7,8,3,3,3,"CreditCard",0
"196","R_2XoCxWkj2bNC4tt","Visual-Handwritten",0,1,42,7,7,7,7,6,6,6,6,"CreditCard",1
"197","R_2RRkFl1jSU1WxyL","Auditory-Computer",1,1,20,6,5,7,6,4,6,6,6,"CreditCard",0
"198","R_3pm5ChMEISQVNWa","Auditory-Human",1,1,19,5,5,4,4.66666666666667,9,2,2,2,"CreditCard",0
"199","R_yqZp6eViZ6EKJG1","Visual-Handwritten",0,2,58,6,5,7,6,4,5,4,4.5,"CreditCard",0
"200","R_6x6ngRY3OrMedoZ","Visual-Handwritten",0,2,42,5,5,5,5,6,5,7,6,"CreditCard",0
"201","R_1g71uGa5WCtVfQz","Auditory-Human",1,1,39,6,5,6,5.66666666666667,7,4,5,4.5,"CreditCard",1
"202","R_1n8jKuizXWbi1vK","Auditory-Computer",1,1,23,3,5,6,4.66666666666667,4,2,3,2.5,"CreditCard",0
"203","R_3CHr8H1tilFRT9L","Auditory-Human",1,2,30,5,5,5,5,6,5,5,5,"CreditCard",1
"204","R_sun08jrNZp8nM5j","Visual-Handwritten",0,2,34,7,7,8,7.33333333333333,7,4,4,4,"CreditCard",0
"205","R_2QSsXpcSnDk5pFe","Auditory-Human",1,1,37,7,7,7,7,6,6,5,5.5,"CreditCard",0
"206","R_A7pTNBXt8JD3w2Z","Auditory-Computer",1,2,20,6,6,5,5.66666666666667,7,5,6,5.5,"CreditCard",1
"207","R_1JCoq3UviSnKWjX","Auditory-Computer",1,2,21,5,5,1,3.66666666666667,2,1,1,1,"CreditCard",0
"208","R_3MiLZ33eAh48osD","Auditory-Computer",1,1,22,5,5,2,4,5,4,4,4,"CreditCard",1
"209","R_1EX3tHgCzpYM28J","Auditory-Computer",1,2,19,4,3,2,3,2,2,2,2,"CreditCard",0
"210","R_3qOM8aVQFVMrp7z","Auditory-Computer",1,2,32,5,5,5,5,3,4,4,4,"CreditCard",0
"211","R_1rjIGWOjutYKquB","Auditory-Human",1,1,44,8,8,7,7.66666666666667,9,8,8,8,"CreditCard",1
"212","R_1IXhajACCbiJRMJ","Auditory-Human",1,1,46,3,5,7,5,5,7,5,6,"CreditCard",1
"213","R_2zFNmcpa33NoMgW","Auditory-Human",1,2,33,9,9,9,9,9,2,3,2.5,"CreditCard",1
"214","R_23ZZy1hA60NM4yl","Auditory-Human",1,2,18,4,6,2,4,4,3,4,3.5,"CreditCard",0
"215","R_3h0EdKea1DhHZjS","Visual-Handwritten",0,1,36,5,5,7,5.66666666666667,5,9,7,8,"CreditCard",0
